id,kel_jabatan_id,nama,status_aktif
201,A5EB03E23DD1F6A0E040640A040252AD,DOSEN ADMINISTRASI PERBANKAN,1
202,A5EB03E23DD1F6A0E040640A040252AD,DOSEN AGAMA DAN KEBUDAYAAN,1
203,A5EB03E23DD1F6A0E040640A040252AD,DOSEN AGAMA HINDU,1
204,A5EB03E23DD1F6A0E040640A040252AD,DOSEN AGAMA ISLAM,1
205,A5EB03E23DD1F6A0E040640A040252AD,DOSEN AGROBISNIS,1
206,A5EB03E23DD1F6A0E040640A040252AD,DOSEN AGROTEKNOLOGI,1
207,A5EB03E23DD1F6A0E040640A040252AD,DOSEN AKHLAK TASAWUF,1
208,A5EB03E23DD1F6A0E040640A040252AD,DOSEN AKHLAQ,1
209,A5EB03E23DD1F6A0E040640A040252AD,DOSEN AKTUARIA,1
210,A5EB03E23DD1F6A0E040640A040252AD,DOSEN AKUNTANSI,1
211,A5EB03E23DD1F6A0E040640A040252AD,DOSEN AKUNTANSI BIAYA,1
212,A5EB03E23DD1F6A0E040640A040252AD,DOSEN AKUNTANSI INTERNASIONAL,1
213,A5EB03E23DD1F6A0E040640A040252AD,DOSEN AKUNTANSI KEUANGAN,1
214,A5EB03E23DD1F6A0E040640A040252AD,DOSEN AKUNTANSI MANAJEMEN,1
215,A5EB03E23DD1F6A0E040640A040252AD,DOSEN AKUNTANSI SYARIAH,1
216,A5EB03E23DD1F6A0E040640A040252AD,DOSEN AL-KITABAH,1
217,A5EB03E23DD1F6A0E040640A040252AD,DOSEN AL-QURAN,1
218,A5EB03E23DD1F6A0E040640A040252AD,DOSEN AL-QURAN HADITS,1
219,A5EB03E23DD1F6A0E040640A040252AD,DOSEN AL-QURAN HADITS MI,1
220,A5EB03E23DD1F6A0E040640A040252AD,DOSEN ALGORITMA DAN PEMROGRAMAN,1
221,A5EB03E23DD1F6A0E040640A040252AD,DOSEN ANALISIS REAL,1
222,A5EB03E23DD1F6A0E040640A040252AD,DOSEN ANALISIS SOSIAL KEAGAMAAN,1
223,A5EB03E23DD1F6A0E040640A040252AD,DOSEN ANATOMI,1
224,A5EB03E23DD1F6A0E040640A040252AD,DOSEN ANATOMI FISIOLOGI MANUSIA,1
225,A5EB03E23DD1F6A0E040640A040252AD,DOSEN ANATOMI TUMBUHAN,1
226,A5EB03E23DD1F6A0E040640A040252AD,DOSEN ANTROPOLOGI,1
227,A5EB03E23DD1F6A0E040640A040252AD,DOSEN ANTROPOLOGI AGAMA,1
228,A5EB03E23DD1F6A0E040640A040252AD,DOSEN ANTROPOLOGI BUDAYA,1
229,A5EB03E23DD1F6A0E040640A040252AD,DOSEN ANTROPOLOGI KRISTIANI,1
230,A5EB03E23DD1F6A0E040640A040252AD,DOSEN AQIDAH AKHLAQ,1
231,A5EB03E23DD1F6A0E040640A040252AD,DOSEN AQIDAH FILSAFAT,1
232,A5EB03E23DD1F6A0E040640A040252AD,DOSEN ARKEOLOGI,1
233,A5EB03E23DD1F6A0E040640A040252AD,DOSEN ARSITEKTUR,1
234,A5EB03E23DD1F6A0E040640A040252AD,DOSEN ASESMEN PSIKOLOGI,1
235,A5EB03E23DD1F6A0E040640A040252AD,DOSEN ASURANSI SYARIAH,1
236,A5EB03E23DD1F6A0E040640A040252AD,DOSEN AUDITING,1
237,A5EB03E23DD1F6A0E040640A040252AD,DOSEN BAHASA ARAB,1
238,A5EB03E23DD1F6A0E040640A040252AD,DOSEN BAHASA CINA,1
239,A5EB03E23DD1F6A0E040640A040252AD,DOSEN BAHASA DAN SASTRA ARAB,1
240,A5EB03E23DD1F6A0E040640A040252AD,DOSEN BAHASA IBRANI,1
241,A5EB03E23DD1F6A0E040640A040252AD,DOSEN BAHASA INDONESIA,1
242,A5EB03E23DD1F6A0E040640A040252AD,DOSEN BAHASA INGGRIS,1
243,A5EB03E23DD1F6A0E040640A040252AD,DOSEN BAHASA YUNANI,1
244,A5EB03E23DD1F6A0E040640A040252AD,DOSEN BANK DAN LEMBAGA KEUANGAN,1
245,A5EB03E23DD1F6A0E040640A040252AD,DOSEN BANTUAN HUKUM,1
246,A5EB03E23DD1F6A0E040640A040252AD,DOSEN BELAJAR DAN PEMBELAJARAN,1
247,A5EB03E23DD1F6A0E040640A040252AD,DOSEN BERMAIN DAN PERMAINAN RA/PAUD,1
248,A5EB03E23DD1F6A0E040640A040252AD,DOSEN BIBLIKA PERJANJIAN BARU,1
249,A5EB03E23DD1F6A0E040640A040252AD,DOSEN BIBLIKA PERJANJIAN LAMA,1
250,A5EB03E23DD1F6A0E040640A040252AD,DOSEN BIMBINGAN DAN KONSELING,1
251,A5EB03E23DD1F6A0E040640A040252AD,DOSEN BIMBINGAN DAN KONSELING AUD,1
252,A5EB03E23DD1F6A0E040640A040252AD,DOSEN BIMBINGAN DAN KONSELING ISLAM,1
253,A5EB03E23DD1F6A0E040640A040252AD,DOSEN BIMBINGAN DAN PENYULUHAN ISLAM,1
254,A5EB03E23DD1F6A0E040640A040252AD,DOSEN BIMBINGAN KONSELING PENDIDIKAN ISLAM,1
255,A5EB03E23DD1F6A0E040640A040252AD,DOSEN BIOKIMIA,1
256,A5EB03E23DD1F6A0E040640A040252AD,DOSEN BIOLOGI,1
257,A5EB03E23DD1F6A0E040640A040252AD,DOSEN BIOLOGI GENETIKA,1
258,A5EB03E23DD1F6A0E040640A040252AD,DOSEN BIOLOGI (LINGKUNGAN),1
259,A5EB03E23DD1F6A0E040640A040252AD,DOSEN BIOLOGI (ZOOLOGI),1
260,A5EB03E23DD1F6A0E040640A040252AD,DOSEN BIOLOGI KELAUTAN DAN PERIKANAN,1
261,A5EB03E23DD1F6A0E040640A040252AD,DOSEN BIOLOGI MOLEKULER,1
262,A5EB03E23DD1F6A0E040640A040252AD,DOSEN BIOLOGI SEL,1
263,A5EB03E23DD1F6A0E040640A040252AD,DOSEN BIOMEDIK,1
264,A5EB03E23DD1F6A0E040640A040252AD,DOSEN BIOTEKNOLOGI,1
265,A5EB03E23DD1F6A0E040640A040252AD,DOSEN BISNIS,1
266,A5EB03E23DD1F6A0E040640A040252AD,DOSEN BISNIS DIGITAL,1
267,A5EB03E23DD1F6A0E040640A040252AD,DOSEN PENDIDIKAN KEWARGANEGARAAN,1
268,A5EB03E23DD1F6A0E040640A040252AD,DOSEN STUDI BUDAYA,1
269,A5EB03E23DD1F6A0E040640A040252AD,DOSEN DAKWAH,1
270,A5EB03E23DD1F6A0E040640A040252AD,DOSEN DAKWAH DAN KOMUNIKASI,1
271,A5EB03E23DD1F6A0E040640A040252AD,DOSEN DASAR-DASAR BIMBINGAN KONSELING ISLAM,1
272,A5EB03E23DD1F6A0E040640A040252AD,DOSEN DESAIN PEMBELAJARAN,1
273,A5EB03E23DD1F6A0E040640A040252AD,DOSEN DETEKSI DINI AUD,1
274,A5EB03E23DD1F6A0E040640A040252AD,DOSEN DHARMAGITA,1
