id;tk_pendidikan_id;nama;status
ff8080814173fbf2014191e06ee8486e;40;S-1 KONSERVASI SUMBER DAYA HUTAN;0
ff80808141740530014196947e3962ea;40;#DELETE#;0
ff8080813daef8f5013dce459a254173;40;#DELETE#;0
ff8080813dab3fe7013dceac8ad945c0;40;S-1/A-IV PENDIDIKAN FISIKA;0
ff8080813e367ef7013e3a11efa1712f;25;0210011;0
8ae482893e7e8191013e82e541a8783a;30;D-III PPLN;0
8ae482893ed0c7a6013ee59af3362cda;25;4210012;0
8ae4828941007e7101410ac22e1f2df8;30;#DELETE#;0
8ae482874131301e0141363ef99d3a04;40;#DELETE#;0
8ae482964159c1ce01415ae30c640be7;40;#DELETE#;0
ff8080814173fbf201417763606e2f49;40;#DELETE#;0
8ae4829b3e121d70013e35d848a6710c;40;#DELETE#;0
ff8080813ec18e20013ee3869bcd1361;40;#DELETE#;0
ff8080813f51b6ac013f56272fbf1a84;40;#DELETE#;0
ff8080813ff0535b013ff5e6d4790ac0;17;#DELETE#;0
ff80808140cec7d80140f189ccfa17cb;40;0191112;0
ff80808141007c2301410b431b563347;40;#DELETE#;0
ff80808141007c2301410c0dca026595;35;#DELETE#;0
ff80808141007d2801411001acb02738;40;#DELETE#;0
ff80808141007d2801411001c7152770;40;#DELETE#;0
ff8080814173fbf20141779de7bf46b9;30;#DELETE#;0
ff8080814173fbf20141969c70f8087c;40;#DELETE#;0
ff8080814174053001419785f77f349a;45;#DELETE#;0
ff8080814174053001419c609fe758aa;40;#DELETE#;0
E86E1A1A05F1B570E040640A18027F34;45;#DELETE#;0
ff8080813e1212e0013e1613e2f82635;30;#DELETE#;0
8ae482963e453bd9013e4e32c91c25c8;40;S-1/A-IV PENDIDIKAN PMP DAN KEWARGANEGARAAN;0
8ae482963e453bd9013e4e365e0725d1;40;S-1/A-IV PENDIDIKAN SASTRA INDONESIA;0
ff80808140cec7d80140e7ee87d40106;40;0070015;0
ff80808141007d28014101a799c40767;40;0191145;0
ff80808141007c23014106f18dab7732;40;#DELETE#;0
ff80808141007d2801410ae654ca36da;30;#DELETE#;0
ff80808141007c2301410bee675a4335;40;#DELETE#;0
ff80808141007c23014110958f020c65;35;#DELETE#;0
ff80808141007c23014111d5ee6a4a97;40;#DELETE#;0
8ae4828941007e7101411640f35807ff;40;#DELETE#;0
8ae48289413134b901414843af637106;40;#DELETE#;0
ff8080814159ae0801416c96eef1642c;40;#DELETE#;0
ff8080813dab3fe7013dceabf03c4583;40;#DELETE#;0
ff8080813ef4d8b6013f13acd61e178a;45;#DELETE#;0
ff808081513cb660015147c33f6d02a6;25;D-II PPKN;1
