id,nama,status
383,LSP MSDM TRANSFORMASI INDONESIA,1
384,LSP MSDM UNGGUL INDONESIA,1
385,LSP MSDM UNGGUL PERSADA,1
386,LSP MSDM UNIVERSAL SURABAYA,1
387,LSP MUSIK INDONESIA,1
388,LSP NORMA KETENAGAKERJAAN INDONESIA,1
389,LSP P-1 SMK NEGERI 1 MANADO,1
390,LSP P-1 SMK PGRI 1 TANGERANG,1
391,LSP P-1 SMK SUMPAH PEMUDA,1
392,LSP P-1 SMKN 1 CIBADAK,1
393,LSP P-1 SMKN 2 PINRANG,1
394,LSP P-1 SMKN1 RANGKASBITUNG,1
395,LSP P-1 UNIVERSITAS NAHDLATUL ULAMA BLITAR,1
396,LSP P-2 SEKURITI PP POLRI,1
397,LSP P1 ALAS KAKI BPIPI,1
398,LSP P1 BALAI DIKLAT INDUSTRI MEDAN,1
399,LSP P1 BP3IP,1
400,LSP P1 LPK GETI,1
401,LSP P1 POLINEMA,1
402,LSP P1 POLITEKNIK STTT BANDUNG,1
403,LSP P1 POLITEKNIK ATK YOGYAKARTA,1
404,LSP P1 POLITEKNIK ILMU PELAYARAN MAKASSAR,1
405,LSP P1 POLITEKNIK NEGERI CILACAP,1
406,LSP P1 POLITEKNIK NEGERI JEMBER,1
407,LSP P1 POLITEKNIK NEGERI KUPANG,1
408,LSP P1 POLITEKNIK PARIWISATA BALI,1
409,LSP P1 POLITEKNIK STMI JAKARTA,1
410,LSP P1 POLTEKPEL SORONG,1
411,LSP P1 PSSDM,1
412,LSP P1 PT BENEFITA INDONESIA,1
413,LSP P1 SMK AKP GALANG,1
414,LSP P1 SMK BHINA TUNAS BHAKTI JUWANA,1
415,LSP P1 SMK BUDI PERKASA BEKASI,1
416,LSP P1 SMK EKONOMIKA DEPOK,1
417,LSP P1 SMK GIRIPURO SUMPIUH,1
418,LSP P1 SMK KARYA TEKNOLOGI JATILAWANG,1
419,LSP P1 SMK KASATRIAN SOLO,1
420,LSP P1 SMK KATOLIK SANTO MIKAEL SURAKARTA,1
421,LSP P1 SMK KRISTEN HARAPAN RANTEPAO,1
422,LSP P1 SMK MAARIF NU 1 AJIBARANG,1
423,LSP P1 SMK MUHAMMADIYAH 03 SUKARAJA,1
424,LSP P1 SMK MUHAMMADIYAH 1 CILACAP,1
425,LSP P1 SMK MUHAMMADIYAH 3 WELERI,1
426,LSP P1 SMK MUHAMMADIYAH BUMIAYU,1
427,LSP P1 SMK MUHAMMADIYAH HAURGEULIS,1
428,LSP P1 SMK MUHAMMADIYAH KRAMAT,1
429,LSP P1 SMK N 1 WONOSARI,1
430,LSP P1 SMK N 2 BUKITTINGGI,1
431,LSP P1 SMK N 3 PURWOKERTO,1
432,LSP P1 SMK N 47 JAKARTA,1
433,LSP P1 SMK NEGERI 1 BOJONGGEDE,1
434,LSP P1 SMK NEGERI 1 BOJONGSARI,1
435,LSP P1 SMK NEGERI 1 BREBES,1
436,LSP P1 SMK NEGERI 1 BUKATEJA,1
437,LSP P1 SMK NEGERI 1 DARUL KAMAL,1
438,LSP P1 SMK NEGERI 1 GIANYAR,1
439,LSP P1 SMK NEGERI 1 INDRALAYA UTARA,1
440,LSP P1 SMK NEGERI 1 JEPARA,1
441,LSP P1 SMK NEGERI 1 JUWIRING,1
442,LSP P1 SMK NEGERI 1 KISARAN,1
